term,indicator,glossed_as,page,pre_context,post_context
opgeven.,of,hij in handen van den,#+ NL-HaNA_1.04.02_10011_0407.xml,ander niet te kunnen,hij in handen van den heer de Latour de Schuld
Jaars,of,daar om„ trent benoemd is,#+ NL-HaNA_1.04.02_10011_0411.xml,12. ' Januarij dezes,daar om„ trent benoemd is tot Commissaris om de goederen
getuijgen,of,gelijk zijn ampt mede brengt,#+ NL-HaNA_1.04.02_10011_0411.xml,woordig was als enkelde,"gelijk zijn ampt mede brengt als griffier van het regiment,"
tezien,of,onder zijne goederen ook eenige,#+ NL-HaNA_1.04.02_10011_0411.xml,"Perrie hebben gevisiteerd, om",onder zijne goederen ook eenige #+ ---
pantoffels,of,Hoelen en banken moeste haalen.,#+ NL-HaNA_1.04.02_10011_0413.xml,en niet uijt de,Hoelen en banken moeste haalen. Dat thoen men bijna met
Bas,of,het werkelijk zijne intentie en,#+ NL-HaNA_1.04.02_10011_0414.xml,--- den Heer De,"het werkelijk zijne intentie en ordres waren, dat deese papieren"
dat,of,gelijk het scheen dat de,#+ NL-HaNA_1.04.02_10011_0414.xml,"zijn Edele gezegt heeft,",gelijk het scheen dat de heer De Bas tegens de
Latour,of,gelijk den deklarant van Zelvers,#+ NL-HaNA_1.04.02_10011_0414.xml,aan den Heer De,gelijk den deklarant van Zelvers zeker op deeze aanmerkin„ gen
geldzaken,of,goederen handelden geinventariseerd moesten worden;,#+ NL-HaNA_1.04.02_10011_0415.xml,papieren die over eenige,goederen handelden geinventariseerd moesten worden; Dat de Heer De Bas
ponden,of,rd=s 18. 46. –. het,#+ NL-HaNA_1.04.02_10012_0008.xml,geld de hon„ „derd,"rd=s 18. 46. –. het picol, en dat we om"
meer,of,"anders doen kan, dan te",#+ NL-HaNA_1.04.02_10012_0012.xml,"word, niet wel iets","anders doen kan, dan te zorgen, dat er niet dan"
derzelve,of,de daarbij ingesloopene misbruijken tegen,#+ NL-HaNA_1.04.02_10012_0016.xml,met de druk„ „king,"de daarbij ingesloopene misbruijken tegen tegaan, en we zullen van"
schellingen,of,11. hollandsche draps is gedeeltelijk,#+ NL-HaNA_1.04.02_10012_0020.xml,op 20. En„ „gelsche,"11. hollandsche draps is gedeeltelijk gulden, en dat de ster"
een,of,"meer kruijtmoolen opterichten, geeft veel",#+ NL-HaNA_1.04.02_10012_0021.xml,"Comp=s ge„ 'sComp=s gebouwen,","meer kruijtmoolen opterichten, geeft veel beeter ree„ kening, als dat"
water,of,zoo„ „ze geschied. den arbeid,#+ NL-HaNA_1.04.02_10012_0021.xml,waer ees aan het,zoo„ „ze geschied. den arbeid meede zoude kunnen waar¬ „genaamde
„steeding,of,het manqueerende te suppleeren uijt,#+ NL-HaNA_1.04.02_10012_0022.xml,materiaalen bij de aanbe„,het manqueerende te suppleeren uijt prive beurs; wes„ „halven we
„tien,of,fungeeren elders als posthou„ „ders:,#+ NL-HaNA_1.04.02_10012_0027.xml,Tutukorijn in guarnizoen leg„,fungeeren elders als posthou„ „ders: zoo dat we daaromtrent voor
teweeten,of,"hun „booden was, hebben we",#+ NL-HaNA_1.04.02_10012_0027.xml,1787. hebben betuigd; niet,"hun „booden was, hebben we geene inlandsche hoofden, maar alleen"
bedenking,of,hij die plantagien in het,#+ NL-HaNA_1.04.02_10012_0028.xml,door desselfs afsterven de,"hij die plantagien in het particulier mogte behouden, komt leces„"
ouders,of,voogden van zoo„ „danige Iongelieden,#+ NL-HaNA_1.04.02_10012_0032.xml,"Hleeden gearresteerd, dat de","voogden van zoo„ „danige Iongelieden verplicht zullen zijn, om voor"
gesteld,of,met mindere straffen gestraft en,#+ NL-HaNA_1.04.02_10012_0033.xml,gecasseer uit den dienst,met mindere straffen gestraft en we zijn te meer op
blijven,of,"aan den arbeid gesteld worden,",#+ NL-HaNA_1.04.02_10012_0035.xml,dat ze opgeslooten moeten,"aan den arbeid gesteld worden, ten zel„ „ven dage beslooten,"
fiskaal,of,eigentlijk het offici„ „um fisci,#+ NL-HaNA_1.04.02_10012_0037.xml,de belangen die onze,eigentlijk het offici„ „um fisci bij den verderen loop dee„
neemen,of,"wij dezelve ac„ „quiesceeren kunnen,",#+ NL-HaNA_1.04.02_10012_0038.xml,een opositief besluit te,"wij dezelve ac„ „quiesceeren kunnen, dan wel noodig achten, teegen"
geeven,of,wijg „ren zal tot op,#+ NL-HaNA_1.04.02_10012_0041.xml,"agrement tot derzelver aanstelling,",wijg „ren zal tot op het naader wel behaagen van
aangesteld,of,"bevorderd, dan na dat de",#+ NL-HaNA_1.04.02_10012_0041.xml,het Regiment van Luxemburg,"bevorderd, dan na dat de Chef daar toe het agrement"
„gen,of,uitzonderingen toe. §. 161: We,#+ NL-HaNA_1.04.02_10012_0044.xml,dit stuk geene bepaalin„,uitzonderingen toe. §. 161: We denken niet dat het noodig
geeven,of,niet geeven van een schriftelijk,#+ NL-HaNA_1.04.02_10012_0044.xml,te zeggen van het,"niet geeven van een schriftelijk verbod, waar over zoo we"
toebrengen,of,daar aan disobedient zijn. §.,#+ NL-HaNA_1.04.02_10012_0047.xml,derzelve de minste hinder,daar aan disobedient zijn. §. 104. Kollonel d' Hugonet heeft
uijtgevoerd,of,men bemerkte by 't Regiment,#+ NL-HaNA_1.04.02_10012_0049.xml,"was, zo dra niet",men bemerkte by 't Regiment die verscheide #+ ---
als,of,men het Gou vernement opentlijk,#+ NL-HaNA_1.04.02_10012_0051.xml,"geschiedden met een publiciteijd,","men het Gou vernement opentlijk uijtdaagde„ zoo zeer, dat min"
horgel,of,schroot bussen van de regiments,#+ NL-HaNA_1.04.02_10012_0051.xml,telaaten vraagen de blikke,"schroot bussen van de regiments stukken, die, reeds den borg"
„vraagt,of,hij aan zijn huijs wijl,#+ NL-HaNA_1.04.02_10012_0057.xml,ter zelver geleegentheid ge„,hij aan zijn huijs wijl men geene kogel formen konde
bossen,of,"druwen te haalen, en aan",#+ NL-HaNA_1.04.02_10012_0058.xml,heeft om de schroot,"druwen te haalen, en aan de artillerie wagt te brengen,"
22.,of,23. aug=s daar tevooren gelast,#+ NL-HaNA_1.04.02_10012_0059.xml,zijn best onthoud den,23. aug=s daar tevooren gelast heeft om kogels en pat„
gevraagd,of,"hij reeds koegels gemaakt had,",#+ NL-HaNA_1.04.02_10012_0059.xml,noch verscheide maalen had,"hij reeds koegels gemaakt had, en„ ten laatsten, op zijn"
vraagen,of,de koegels nog niet klaar,#+ NL-HaNA_1.04.02_10012_0060.xml,maalen was koo¬ „men,"de koegels nog niet klaar waaren, gezegd had om volgens"
haalen,of,'t lood in lingots te,#+ NL-HaNA_1.04.02_10012_0060.xml,"had, om bamboesen te",'t lood in lingots te suijven. §: 127. En kapitein
teffens,of,het op zijne order was,#+ NL-HaNA_1.04.02_10012_0065.xml,"laaten „brengen, met afvraage",het op zijne order was geschied: en dat Hij de
gevraagd,of,de kannons hier bee„ „ter,#+ NL-HaNA_1.04.02_10012_0065.xml,"gegeeven tehebben, Finiels had",de kannons hier bee„ „ter waaren dan op de ander
Raijmond,of,P. 6. van des laatstens,#+ NL-HaNA_1.04.02_10012_0065.xml,de luitenant kolonel de,P. 6. van des laatstens de klaratoir van den 25:e
vraagen,of,hij de inspekte van de,#+ NL-HaNA_1.04.02_10012_0068.xml,"begeeven, om hem te","hij de inspekte van de artillerie komp: wilde koomen doen,"
bespeuren,of,ook maa in het vermoeden,#+ NL-HaNA_1.04.02_10012_0073.xml,het Gouvernemen wanneer te,"ook maa in het vermoeden koomen, dat het Gouvernement maat"
aantast,of,daar na grijpt te„ „gens,#+ NL-HaNA_1.04.02_10012_0073.xml,gienen die zijn wapen,daar na grijpt te„ „gens zijn overste of komman¬ dant
overste,of,komman¬ dant artikel Kollonel #+,#+ NL-HaNA_1.04.02_10012_0073.xml,grijpt te„ „gens zijn,komman¬ dant artikel Kollonel #+ ---
gebragt,of,"bedreeven, en de misdadige oogmerken",#+ NL-HaNA_1.04.02_10012_0074.xml,hebben ter uit„ voer,"bedreeven, en de misdadige oogmerken waar „meede te gepleegd zijn,"
verraed,of,malver„ Casie /: het geen,#+ NL-HaNA_1.04.02_10012_0075.xml,mogten maeken aen hoog,malver„ Casie /: het geen God verhoede:/ zal de Hooge
onderrigten,of,en in hoe verre zulke,#+ NL-HaNA_1.04.02_10012_0076.xml,Vervolg ons te willen,"en in hoe verre zulke en diergelij„ ke stappen, en"
verraed,of,"malveri tie, waer van bij",#+ NL-HaNA_1.04.02_10012_0076.xml,gereekend te zijn Hoog,"malveri tie, waer van bij het voorsz 22:e Art:l van"
dingen,of,"ook gee„ ne derzelve, daer",#+ NL-HaNA_1.04.02_10012_0076.xml,Edelhee den alle deeze,"ook gee„ ne derzelve, daer niet behoore verzoeken we zeer"
toebrengen,of,daaraan dis obedient zijn §,#+ NL-HaNA_1.04.02_10012_0077.xml,orders de minste hinder,daaraan dis obedient zijn § 160. Het is ook niet
„voerd,of,bedreeven. Wij is niet temin,#+ NL-HaNA_1.04.02_10012_0077.xml,niet zoude hebben uitge,bedreeven. Wij is niet temin bij de voorsz: sententsie van
„staan,of,liever naar wat veegel we,#+ NL-HaNA_1.04.02_10012_0077.xml,we dat moeten ver=,liever naar wat veegel we ons in deezen voor den
aanstellen,of,bevorde„ „ren van officieren even,#+ NL-HaNA_1.04.02_10012_0078.xml,de Gouverneur bij het,bevorde„ „ren van officieren even dat zelfde aan den Kommandan
verraad,of,"iets, waar door eenige pu",#+ NL-HaNA_1.04.02_10012_0080.xml,"eenige voorgenoo¬ „mene Conspiraatsie,","iets, waar door eenige pu „blucque schaade of pericul zoude"
schaade,of,"pericul zoude kunnen ontstaan, het",#+ NL-HaNA_1.04.02_10012_0080.xml,door eenige pu „blucque,"pericul zoude kunnen ontstaan, het daadelijk zal moeten bekend maaken,"
geeven,of,het niet voor het geheele,#+ NL-HaNA_1.04.02_10012_0081.xml,nedrig in overweging te,het niet voor het geheele Militaire weesen op Ceilon zoude
en,of,Eene aanwijzing van het be„,#+ NL-HaNA_1.04.02_10012_0081.xml,"een natuur als deeze,","Eene aanwijzing van het be„ Iuni 1786. , hadden we"
spaarsaam,of,"ge„ En als wij overwegen,",#+ NL-HaNA_1.04.02_10012_0083.xml,daar van niet dan,"ge„ En als wij overwegen, dat vol¬ nopens het onverzettelijk"
voor,of,"de kandiasche brief „ters, de",#+ NL-HaNA_1.04.02_10012_0083.xml,terug gaave der stranfelagtig,"de kandiasche brief „ters, de kandianen de Neder„ van de"
onderrigt,of,de pagooden die kolombo opagooden,#+ NL-HaNA_1.04.02_10012_0083.xml,de kwaade inzigten zen,de pagooden die kolombo opagooden waa„ zig in het kandiasche
als,of,de van den 12' December,#+ NL-HaNA_1.04.02_10012_0083.xml,"geen na uitgelaaten had,",de van den 12' December 1786 alwaar onder anderen staat.
als,of,die hun aangi¬ zoo niet,#+ NL-HaNA_1.04.02_10012_0084.xml,Hof die zee„ even,"die hun aangi¬ zoo niet behoorde, juist geen nieu„ „wigheijd."
hulp,of,ten minsten dat het zelfden,#+ NL-HaNA_1.04.02_10012_0085.xml,"niets melden, ook onder„","ten minsten dat het zelfden voet, als de kompenie ze"
Commandeur,of,geenen tak van han alleen,#+ NL-HaNA_1.04.02_10012_0085.xml,merken daaromtrent nog „pitain,"geenen tak van han alleen aan, dat het Hof voorleede"
„den,of,arreek toetestaan dat ons dat,#+ NL-HaNA_1.04.02_10012_0085.xml,"indruk zal zijn geweest,",arreek toetestaan dat ons dat zoude kunnen „ne Hoog Edelheeden
„gemaakte,of,aangeplante grond en zoo van,#+ NL-HaNA_1.04.02_10012_0088.xml,#+ ---,aangeplante grond en zoo van de kompenie als partikulie„ Als
min,of,"meer 1000. verder heeft geschreeven,",#+ NL-HaNA_1.04.02_10012_0088.xml,"„veren, en zullen dus","meer 1000. verder heeft geschreeven, dat, dit werk, het geen,"
wijnig,of,"geen kanneel staat „komende Iaaren,",#+ NL-HaNA_1.04.02_10012_0088.xml,door hij zig op,"geen kanneel staat „komende Iaaren, gewerkt word met de zelfde"
vijf,of,"ranken en de koffij boompjes,",#+ NL-HaNA_1.04.02_10012_0088.xml,daarbij behoor„ eerstgemelden in,"ranken en de koffij boompjes, veel „lijk onder houden worden,"
paggers,of,"heiningen, waar in deeze gronden",#+ NL-HaNA_1.04.02_10012_0088.xml,"onder houden worden, de","heiningen, waar in deeze gronden be„ tijds reeds vrugten geeven"
waarde,of,1200. Man dit werk bekwamelijk,#+ NL-HaNA_1.04.02_10012_0088.xml,178 „kende om de,1200. Man dit werk bekwamelijk kun„ „nen afdoen. zulke die
niet,of,het zel„ hunnen brief van,#+ NL-HaNA_1.04.02_10012_0089.xml,hier toe het twijffelen,het zel„ hunnen brief van den 6: uit is ontstaan
min,of,meer schaadelijk te volmaaktheijd waar,#+ NL-HaNA_1.04.02_10012_0089.xml,beschouwd wo ook zelfs,meer schaadelijk te volmaaktheijd waar toe ze gebragt weezen aan
anders,of,"„ten geeven, het geen na",#+ NL-HaNA_1.04.02_10012_0089.xml,"overlaat, ze Zeldsaam iets","„ten geeven, het geen na dat ze meer meer doen"
voorgekomen,of,deeze „verde gronden als in,#+ NL-HaNA_1.04.02_10012_0090.xml,ondertusschen ons min klaar,deeze „verde gronden als in de zo genoemde tuin kanneel
meer,of,"min „der overeenstemd, met de",#+ NL-HaNA_1.04.02_10012_0091.xml,"waar op ze voortkomt,","min „der overeenstemd, met de werkelijke Marandaan gronden, die de"
„neemen,of,uwe bevinding met het geschreevene,#+ NL-HaNA_1.04.02_10012_0091.xml,zullen wij gaarne ver„,"uwe bevinding met het geschreevene door de Ministers, dat zij,"
geeven,of,"neemen va „pen, hebben we",#+ NL-HaNA_1.04.02_10012_0093.xml,rd=s zoude beloo„„de het,"neemen va „pen, hebben we de vrijheijd gebruikt wel gem:"
tangen,of,bedeikte plaatsen „de wannische Provincien,#+ NL-HaNA_1.04.02_10012_0095.xml,van een me„ „nigte,"bedeikte plaatsen „de wannische Provincien om het waater te bewaaren,"
wijnig,of,geene voordeelen gehad. tweede zoort,#+ NL-HaNA_1.04.02_10012_0097.xml,Engelschen van deze visserij,geene voordeelen gehad. tweede zoort een prijs ver¬ „hooging van
„koop,of,"aanbesteeding, die verhooging weeder zal",#+ NL-HaNA_1.04.02_10012_0097.xml,bij een volgende in¬,"aanbesteeding, die verhooging weeder zal hebben kunnen worden ingetrokken. §:"
onderricht,of,"van eenig heer Dott, vervat",#+ NL-HaNA_1.04.02_10012_0098.xml,Nababs afgezant de „den,"van eenig heer Dott, vervat bij onzen ne„ „drigen brief"
en,of,wel tegenwoordig door hun vertoond,#+ NL-HaNA_1.04.02_10012_0099.xml,"had„ „den doen besluiten,","wel tegenwoordig door hun vertoond is, dat bij 15300. rd=s"
rd=s,of,"1100. minder, dan die van",#+ NL-HaNA_1.04.02_10012_0100.xml,1785. maar gegolden 6000.,"1100. minder, dan die van het voorige Iaar. §: 408."
„gen,of,ƒ75112. —. minder dan die,#+ NL-HaNA_1.04.02_10012_0100.xml,ƒ 227585. hebbende bedraa¬,ƒ75112. —. minder dan die van voorige Jaar is die
8.,of,14 5/8. p=r C=to vertoond,#+ NL-HaNA_1.04.02_10012_0102.xml,zijn. van ƒ509413. 19.,"14 5/8. p=r C=to vertoond dezelve zich vrij gun¬ „stiger,"
8.,of,ƒ25804. 17. 8. meer dan,#+ NL-HaNA_1.04.02_10012_0102.xml,hebbende bedraagen ƒ1667008. 17.,ƒ25804. 17. 8. meer dan die van het voorige boekjaar.
niet,of,noodig geoordeeld zal tweede door,#+ NL-HaNA_1.04.02_10012_0104.xml,ende „len; twijffelen wij,noodig geoordeeld zal tweede door het opperhoofd waarge„ „nomen word.
UE:,of,Aug=s 1787. aan hem hebben,#+ NL-HaNA_1.04.02_10012_0104.xml,' het noodige plan,Aug=s 1787. aan hem hebben toe„ De ondergetekende Gouverneur is
welgemelde,of,nog aangebooden wor„ Hunne Hoog,#+ NL-HaNA_1.04.02_10012_0104.xml,Sou„macher met last om,nog aangebooden wor„ Hunne Hoog Edelheeden daar op te „kelijk
weezen,of,ook aan dien kant in,#+ NL-HaNA_1.04.02_10012_0104.xml,overwal nage¬ „gaan zal,ook aan dien kant in komp=s huijshouding eene meerdere „den
da,of,geheel afgeschaft of mit andere,#+ NL-HaNA_1.04.02_10012_0107.xml,wan neer men bedieningen,"geheel afgeschaft of mit andere vereenigd zoude ke nen worden,"
afgeschaft,of,mit andere vereenigd zoude ke,#+ NL-HaNA_1.04.02_10012_0107.xml,bedieningen da of geheel,"mit andere vereenigd zoude ke nen worden, op zich Zel"
zieke,of,"anderzints gebrekkige officieren en soldaaten,",#+ NL-HaNA_1.04.02_10012_0113.xml,"van de ou¬ „de,","anderzints gebrekkige officieren en soldaaten, ten einde dezel„ „ve te"
men,of,hetzelve zich met gerust „heid,#+ NL-HaNA_1.04.02_10012_0115.xml,"niet zo bestaan, dat","hetzelve zich met gerust „heid kan verlaaten, en ingeval van"
mitsgaders,of,"zij, aan wien het opzigt",#+ NL-HaNA_1.04.02_10012_0117.xml,"heeft helpen veroor„ „zaaken,","zij, aan wien het opzigt over die werken is toebe¬"
overleeden;,of,wijden Zijd „kelijk maaken voor,#+ NL-HaNA_1.04.02_10012_0120.xml,"Paleacatta bedeeld, met gen,",wijden Zijd „kelijk maaken voor de verzoek om die daar
paspoort,of,afscheid te ver„ „leenen; Terwijl,#+ NL-HaNA_1.04.02_10012_0120.xml,zonder aan hem een,afscheid te ver„ „leenen; Terwijl vervolgens door UE: de stukken
1784.,of,en hoe ver de boedel,#+ NL-HaNA_1.04.02_10012_0122.xml,den 19 ' Maar,en hoe ver de boedel van gem: koopman Mossel aansprakelijk
geweest,of,in hoe ver de Admini„,#+ NL-HaNA_1.04.02_10012_0123.xml,toeschijnt nategaan zou zijn,in hoe ver de Admini„ straatsie van voorm: Mos „sel
juweelen,of,"anders, dat aan hem mogt",#+ NL-HaNA_1.04.02_10012_0125.xml,waarde van voor „zeide,"anders, dat aan hem mogt worden toegestaan een somma van"
niet,of,u zoo wel als de,#+ NL-HaNA_1.04.02_10012_0129.xml,447. Wij twijffelen dus,u zoo wel als de Ministers zullen naader aan 't
onderzogt,of,gemel Raadsleeden zich desweg behoorlijk,#+ NL-HaNA_1.04.02_10012_0129.xml,"laaten geleege zijn, en","gemel Raadsleeden zich desweg behoorlijk kunnen ver „antwoorden. waaren, en"
oordeelen,of,zulx van de Administr „tien,#+ NL-HaNA_1.04.02_10012_0131.xml,wij dus ook niet,"zulx van de Administr „tien in 't algemeen, en dús"
„dras,of,waar zulx van dienst zou,#+ NL-HaNA_1.04.02_10012_0132.xml,de Regeering te Ma,waar zulx van dienst zou kunnen zijn of men tot
zijn,of,men tot de terug gaave,#+ NL-HaNA_1.04.02_10012_0132.xml,van dienst zou kunnen,men tot de terug gaave van dezelve was geneegen 't
een,of,het an„ „dering van het,#+ NL-HaNA_1.04.02_10012_0133.xml,--- Bepaaldelijk tot het,het an„ „dering van het krediet van twee en die
als,of,ten minsten de kompenie de,#+ NL-HaNA_1.04.02_10012_0133.xml,"denkbeeld moest worden gebooren,","ten minsten de kompenie de penningen had voor uit geschooten,"
En,of,schoon dit vaartui volgens de,#+ NL-HaNA_1.04.02_10012_0135.xml,naar Ceil waaren verzonden.,schoon dit vaartui volgens de van Batavia ontf: anreken „
geweest,of,men heeft omtrent dezelve nog,#+ NL-HaNA_1.04.02_10012_0137.xml,Zints zodaanig is ingericht,men heeft omtrent dezelve nog ver „scheide berichten noodig §:
maaken,of,daar groote betaalingen te doen,#+ NL-HaNA_1.04.02_10012_0141.xml,nu en dan kunnen,"daar groote betaalingen te doen hebben, gezegd word, dat alle"
waar,of,men daar door als dan,#+ NL-HaNA_1.04.02_10012_0141.xml,"neen, „ters hebben gegeeven",men daar door als dan op om op Ceilon het
„wachten,of,op dezelve bij uE: eenige,#+ NL-HaNA_1.04.02_10012_0142.xml,"zenden, zullen wij af„",op dezelve bij uE: eenige bedenkingen ge„ „vallen zijn. van
neemen,of,de goenies te Iu„ kompenie,#+ NL-HaNA_1.04.02_10012_0145.xml,emballeeren van kan„ „ten,"de goenies te Iu„ kompenie gekogt, aldaar ook ingenoomen en"
gevaaren,of,nog staan ver het grootste,#+ NL-HaNA_1.04.02_10012_0150.xml,van voor zijn huis,nog staan ver het grootste gedeelte de oorzaak geweest is.
toedoen,of,"verzuijm die abuijzen begaan zijn,",#+ NL-HaNA_1.04.02_10012_0155.xml,"zij geenen, door welker","verzuijm die abuijzen begaan zijn, de blijken vo# hun regtmaatig"
baaij,of,ten minsten binnen 24. uuren,#+ NL-HaNA_1.04.02_10012_0160.xml,komst in de Paalsche,"ten minsten binnen 24. uuren daar na, gedaan had de"
rd„s,of,ƒ1789. 18. 8 Nederlandsch geld,#+ NL-HaNA_1.04.02_10012_0167.xml,heeft ze gerendeert 904.,ƒ1789. 18. 8 Nederlandsch geld § 195: Vermits het van
ordre,of,bepaaling is geweest; hebben we,#+ NL-HaNA_1.04.02_10012_0167.xml,echter daar toe eenige,bepaaling is geweest; hebben we op den 12. April passato
„mineeren,of,ze volgens het aanbevoo„ „lene,#+ NL-HaNA_1.04.02_10012_0169.xml,"hebben bijgewoond, te exa¬",ze volgens het aanbevoo„ „lene bij de aan hun verleende
hadden,of,"de goederen behoorlijk gestuwd waaren,",#+ NL-HaNA_1.04.02_10012_0169.xml,begeeven en inspectie genoomen,"de goederen behoorlijk gestuwd waaren, en hun afte„ „vraagen in"
specialijk,of,"ze niet hadden ontdekt, dat",#+ NL-HaNA_1.04.02_10012_0169.xml,"stuagie bevonden hadden, en","ze niet hadden ontdekt, dat de voorsz: g'infl „geerde kelders"
en,of,'er van de aangebragte wij„,#+ NL-HaNA_1.04.02_10012_0169.xml,nieuwe spijkers waaren gespijkerd;,'er van de aangebragte wij„ „nen geene proefbottels zijn ontvangen!
!,of,"de hier uitgeleeverde wijnen, tegens",#+ NL-HaNA_1.04.02_10012_0169.xml,zijn ontvangen! zoo Ia,"de hier uitgeleeverde wijnen, tegens die proeven zijn gekonfronteerd; Voorts"
schip,of,"vaartuig gelost word, eene generaale",#+ NL-HaNA_1.04.02_10012_0174.xml,het geen„ uijt een,"vaartuig gelost word, eene generaale quitantie verleend werd. De administrateur"
pen,of,we op dien voet de,#+ NL-HaNA_1.04.02_10012_0180.xml,ons als dan teverkaa¬,we op dien voet de aan¬ „besteeding verder wilden Continu„
–.,of,ƒ7870: 10. —. Nederlandsch: opgeworpen:,#+ NL-HaNA_1.04.02_10012_0183.xml,opgeworpen rd=s 3975. –.,ƒ7870: 10. —. Nederlandsch: opgeworpen: geld. #+ ---
p:s,off,e verk 't geheel Winst,#+ NL-HaNA_1.04.02_10012_0184.xml,posCinkt geheel 't ld,e verk 't geheel Winst p„s 8. 6. ƒ 600.
floers,of,Lampher Crisp 322. 14. Streng:,#+ NL-HaNA_1.04.02_10012_0184.xml,Hollands 7404. ¾ @,Lampher Crisp 322. 14. Streng: Goud draad „ zilver draad
Joelie,of,Macis 2410. 1/32 „ Garioffel,#+ NL-HaNA_1.04.02_10012_0184.xml,Geneever 1221. 1/32. ld.,Macis 2410. 1/32 „ Garioffel Nagelen Nooten Muscaaten Kaneel 3.
ps,of,@ verk 't geheel Winst:,#+ NL-HaNA_1.04.02_10012_0186.xml,'t geheel 't Ed,@ verk 't geheel Winst: Percentos 9. 12. 8. ƒ1542.
Iaffenapatnam,of,zich somtijds nog eenige vreemde,#+ NL-HaNA_1.04.02_10012_0188.xml,temin den bedienden te,"zich somtijds nog eenige vreemde koopluiden mogten opdoen, om de"
-.,of,ƒ 7595: 5. 8. en,#+ NL-HaNA_1.04.02_10012_0189.xml,voor rd=s 3836. -.,ƒ 7595: 5. 8. en 2. van partikulieren zijnde kas
2082:,of,ƒ4122:7 Nederlandsch geld. De Kompenies,#+ NL-HaNA_1.04.02_10012_0189.xml,"ken zijn, voor rd=s","ƒ4122:7 Nederlandsch geld. De Kompenies koopman Antho sitti, is de"
blijve—,of,tezaamen. - - - .,#+ NL-HaNA_1.04.02_10012_0192.xml,Koelies mits het onderhoud,tezaamen. - - - . - . . . .
baalen,of,kanneel is de bepaal „,#+ NL-HaNA_1.04.02_10012_0194.xml,de voorsz: 1100: 8/35.,kanneel is de bepaal „ 3316 1/10. bossen partikuliere tuijn
goed,of,"minder waardig zouden zijn, weshalven",#+ NL-HaNA_1.04.02_10012_0198.xml,stukken daar om niet,"minder waardig zouden zijn, weshalven ze sustineerden, Tot. dat #+"
sorteering,of,afge„ „scheept of voor de,#+ NL-HaNA_1.04.02_10012_0203.xml,Lijnwaat van 's komp=s,"afge„ „scheept of voor de kompenie overge „nomen mogten worden,"
„scheept,of,voor de kompenie overge „nomen,#+ NL-HaNA_1.04.02_10012_0203.xml,"komp=s sorteering, of afge„","voor de kompenie overge „nomen mogten worden, onder aan„ „bieding"
zien,of,'er kompenies sorte sclheept en,#+ NL-HaNA_1.04.02_10012_0204.xml,"te visiteeren, om te","'er kompenies sorte sclheept en weder agter„ „ring onder was,"
als,of,men van den afschie §262:,#+ NL-HaNA_1.04.02_10012_0204.xml,"en men hield zich,",men van den afschie §262: Intusschen hadden de bedienden reets
gunees,of,"Salmpoeries gaarn gemaakt is, partikulier",#+ NL-HaNA_1.04.02_10012_0206.xml,"geen Lijnwaat, dat van","Salmpoeries gaarn gemaakt is, partikulier te laaten vervoe„ „ren, en"
natura,of,"kontant, tegens de bepaalde prijs",#+ NL-HaNA_1.04.02_10012_0210.xml,"als Maturesche ingezeetenen, in","kontant, tegens de bepaalde prijs van drie rijksd=s. de Ammonam"
geene,of,"wijnige arreeks boomen voorzien, maar",#+ NL-HaNA_1.04.02_10012_0210.xml,opneem bevonden zijn met,"wijnige arreeks boomen voorzien, maar meest verwoest en verlaaten, en"
pagooden,of,- - - „ 4820.,#+ NL-HaNA_1.04.02_10012_0215.xml,Jutu korijnsche voor 2300.,- - - „ 4820. 34 „ve over. We hebben
elucideelen,of,ze met voordeel kunnen de,#+ NL-HaNA_1.04.02_10012_0215.xml,duikers in 't boek„,"ze met voordeel kunnen de Tutukrijnsche worden verdebiteerd, wijl we"
2.,of,2½. on Comp:s uit: weeder,#+ NL-HaNA_1.04.02_10012_0215.xml,tedoen. Dezelve zal op,2½. on Comp:s uit: weeder en als door eene groote
–.,off,pag: 4414 1/60: ƒ 18318:11:8.,#+ NL-HaNA_1.04.02_10012_0220.xml,van zijnde rd=s 9380.,pag: 4414 1/60: ƒ 18318:11:8. uitmaakende. Waar van afgaan de
banken,of,zommige derzelven met rijpe oes„,#+ NL-HaNA_1.04.02_10012_0221.xml,"zijn mogt, dat de","zommige derzelven met rijpe oes„ „ters bezet zouden weezen, de"
visiteeren,of,zulks uitte„ „stellen tot dit,#+ NL-HaNA_1.04.02_10012_0221.xml,najaar weder te laaten,"zulks uitte„ „stellen tot dit Iaar, en hij heeft best"
-.,of,ƒ12243. — Voor dit loopend,#+ NL-HaNA_1.04.02_10012_0223.xml,voor rd=s 6183: 16.,ƒ12243. — Voor dit loopend boek: „jaar van 178 5/8.
–.,of,. . . „ 12672.,#+ NL-HaNA_1.04.02_10012_0223.xml,voor rd=s 6400. –.,. . . „ 12672. — Penni Dus 't laatste
De,of,#+ --- #+ ---,#+ NL-HaNA_1.04.02_10012_0223.xml,12243. —. —. bedragende,#+ ---
„houden,of,anders te laaten volstaan met,#+ NL-HaNA_1.04.02_10012_0225.xml,jaaren te laaten be,anders te laaten volstaan met de verantwoording van het gee
„vraagd,of,ingevalle de opagter het delven,#+ NL-HaNA_1.04.02_10012_0226.xml,en cum advies op,ingevalle de opagter het delven der zaaijwortelen al te verro
